No_,Description,Base Unit of Measure,Inventory Posting Group,Gen_ Prod_ Posting Group,Global Dimension 1 Code,Global Dimension 2 Code,Item Category Code
10000001,Egg Puff,PCS,FINISHGOOD,FINISHGOOD,,,19109
10000002,Vegetables Puff,PCS,FINISHGOOD,FINISHGOOD,,,19109
10000003,Chicken Puff,PCS,FINISHGOOD,FINISHGOOD,,,19109
10000004,Mutton Puff,PCS,FINISHGOOD,FINISHGOOD,,,19109
10000005,Paneer Puff,PCS,FINISHGOOD,FINISHGOOD,,,19109
10000006,Sandy Cake Packet,PCS,FINISHGOOD,FINISHGOOD,,,19104
10000007,Mutton Roll,PCS,FINISHGOOD,FINISHGOOD,,,19110
10000008,Khara Biscuits,PCS,FINISHGOOD,FINISHGOOD,,,19100
10000009,Kaju Biscuit,PCS,FINISHGOOD,FINISHGOOD,,,19100
10000010,Chocolate Biscuit,PCS,FINISHGOOD,FINISHGOOD,,,19100
10000011,Nankhatai,PCS,FINISHGOOD,FINISHGOOD,,,19100
10000012,Roat Biscuit,PCS,FINISHGOOD,FINISHGOOD,,,19100
10000013,Tie Biscuit,PCS,FINISHGOOD,FINISHGOOD,,,19100
10000014,Fine Biscuit,PCS,FINISHGOOD,FINISHGOOD,,,19100
10000015,Biscuit Mixed Pack Big Box,PCS,FINISHGOOD,FINISHGOOD,,,19100
10000016,Toast Packet,PCS,FINISHGOOD,FINISHGOOD,,,19100
10000017,Cream Roll,PCS,FINISHGOOD,FINISHGOOD,,,19110
10000018,Dilkush,PCS,FINISHGOOD,FINISHGOOD,,,19105
10000019,Doughnut,PCS,FINISHGOOD,FINISHGOOD,,,19106
10000020,Jam Roll,PCS,FINISHGOOD,FINISHGOOD,,,19110
10000021,Cream Bun,PCS,FINISHGOOD,FINISHGOOD,,,19103
10000024,Lukmi,PCS,FINISHGOOD,FINISHGOOD,,,19107
10000025,Special Fruit Biscuit Box 500 Gm,PORTION,FINISHGOOD,FINISHGOOD,,,19100
10000026,Special Chand Biscuit Box 500 Gm,PORTION,FINISHGOOD,FINISHGOOD,,,19100
10000027,Special Kaju Biscuit Box 500 Gm,PORTION,FINISHGOOD,FINISHGOOD,,,19100
10000028,Special Chocolate Biscuit Box 500 Gm,PORTION,FINISHGOOD,FINISHGOOD,,,19100
10000029,Pineapple Pastry,PCS,FINISHGOOD,FINISHGOOD,,,19108
10000030,Black Forest Pastry,PCS,FINISHGOOD,FINISHGOOD,,,19108
10000031,Butter Scotch Pastry,PCS,FINISHGOOD,FINISHGOOD,,,19108
10000032,Rich Chocolate Pastry,PCS,FINISHGOOD,FINISHGOOD,,,19108
10000035,Osmania Biscuit Box 500 Gm,PORTION,FINISHGOOD,FINISHGOOD,,,19100
10000036,Black Forest Mini Pastry,PCS,FINISHGOOD,FINISHGOOD,,,19108
10000037,Pineapple Mini Pastry,PCS,FINISHGOOD,FINISHGOOD,,,19108
10000038,Pista Mini Pastry,PCS,FINISHGOOD,FINISHGOOD,,,19108
10000039,Butter Scotch Mini Pastry,PCS,FINISHGOOD,FINISHGOOD,,,19108
10000040,Small Plum Cake Box 250Gm,PORTION,FINISHGOOD,FINISHGOOD,,,19104
10000041,Rich Chocolate Mini Pastry,PCS,FINISHGOOD,FINISHGOOD,,,19108
10000042,Small Fruit Cake Box 250Gm,PCS,FINISHGOOD,FINISHGOOD,,,19104
10000043,Pineapple Cake 1 Kg,PCS,FINISHGOOD,FINISHGOOD,,,19104
10000044,Pineapple Cake 2 Kg,PCS,FINISHGOOD,FINISHGOOD,,,19104
10000045,Special Coconut Badam Biscuit Box 500 Gm,PORTION,FINISHGOOD,FINISHGOOD,,,19100
10000046,Cornflake Biscuit Box 500 Gm,PCS,FINISHGOOD,FINISHGOOD,,,19100
10000047,Special Badam Biscuit Box 500Gm,PORTION,FINISHGOOD,FINISHGOOD,,,19100
10000048,Special Pista Biscuit Box 500Gm,PORTION,FINISHGOOD,FINISHGOOD,,,19100
10000049,Special Pastry Butterscotch,PCS,FINISHGOOD,FINISHGOOD,,,19108
10000050,Special Pastry Strawberry,PCS,FINISHGOOD,FINISHGOOD,,,19108
10000051,Special Pastry Italian Choclate,PCS,FINISHGOOD,FINISHGOOD,,,19108
10000052,Special Black Forest Pastry,PCS,FINISHGOOD,FINISHGOOD,,,19108
10000053,Special Mocha Chips Pastry,PCS,FINISHGOOD,FINISHGOOD,,,19108
10000054,Special Pineapple Pastry,PCS,FINISHGOOD,FINISHGOOD,,,19108
10000055,Special Jo Jo Choc Pastry,PCS,FINISHGOOD,FINISHGOOD,,,19108
10000056,Special Dry Fruit Pastry,PCS,FINISHGOOD,FINISHGOOD,,,19108
10000057,Jo Jo Choclate Cake 1 Kg,PCS,FINISHGOOD,FINISHGOOD,,,19104
10000058,Jo Jo Choclate Cake 2 Kg,PCS,FINISHGOOD,FINISHGOOD,,,19104
10000059,Mocha Chips Cake 1 Kg,PCS,FINISHGOOD,FINISHGOOD,,,19104
10000060,Mocha Chips Cake 2 Kg,PCS,FINISHGOOD,FINISHGOOD,,,19104
