Actual Item Code,Item Name,Corrected Name,Sub-Category,Category,Category for Incentive,Veg/Non veg,Chicken/Mutton,Value Offering Cat,Value Offering Sub-Cat,Innovation,Innovation Sub-cat,Unique,Combos to be excl for Item count report,ad
1GGT0080,Veg Biryani Meal,Veg Biryani Meal,Tray Meals,Biryani,Biryani,Veg,Other,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1GGT0001,Chicken Biryani Family Pack,Chicken Biryani Family Pack,Family Packs,Biryani,Biryani,Non-Veg,Chicken,NULL,NULL,Other Launch,Chicken Biryani Family Pack,NULL,NULL,NULL
1GGT0005,Supreme Chicken Biryani Pack,Supreme Chicken Biryani Pack,Supreme Packs,Biryani,Biryani,Non-Veg,Chicken,Other Packs,Sharing Pack,NULL,NULL,NULL,NULL,NULL
1GGT0014,Supreme Mutton Biryani Pack,Supreme Mutton Biryani Pack,Supreme Packs,Biryani,Biryani,Non-Veg,Mutton,Other Packs,NULL,NULL,NULL,NULL,NULL,NULL
1GGT0008,Egg  Biryani,Egg Biryani,Regular,Biryani,Biryani,Non-Veg,Egg,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1GGT0019,Veg Biryani Family Pack,Veg Biryani Family Pack,Family Packs,Biryani,Biryani,Veg,Other,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1GGT0122,Chettinadu Murgh Kebab,Chettinadu Murgh Kebab,Kebabs,Kebabs,Kebabs,Non-Veg,Chicken,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1GGT0125,Chicken Kalmi Kebab,Chicken Kalmi Kebab,Kebabs,Kebabs,Kebabs,Non-Veg,Chicken,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1GGT0128,Chicken Reshmi Kebab,Chicken Reshmi Kebab,Kebabs,Kebabs,Kebabs,Non-Veg,Chicken,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1GGT0134,Lal Mirchi Murgh Tikka Kebab,Lal Mirchi Murgh Tikka Kebab,Kebabs,Kebabs,Kebabs,Non-Veg,Chicken,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1GGT0135,Morraccan Chicken Kebab,Morraccan Chicken Kebab,Kebabs,Kebabs,Kebabs,Non-Veg,Chicken,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1GGT0136,Takeaway Chicken Kebab Platter,Takeaway Chicken Kebab Platter,Platter,Kebabs,Kebabs,Non-Veg,Chicken,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1GGT0090,Paradise Special Chicken,Paradise Special Chicken,Currys,Indian,Indian,Non-Veg,Chicken,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1GGT0102,Paradise Special Mutton,Paradise Special Mutton,Currys,Indian,Indian,Non-Veg,Mutton,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2BV10069,Coke Pet 600ML,Coke Pet 600ML,Soft Drinks,Beverages,Excluded,Beverages,Other,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2BV10090,Sprite Pet 600ML,Sprite Pet 600ML,Soft Drinks,Beverages,Excluded,Beverages,Other,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2BV10091,Sprite PET 750 ML,Sprite PET 750 ML,Soft Drinks,Beverages,Excluded,Beverages,Other,NULL,NULL,NULL,Bakery Delivery,NULL,NULL,NULL
2BV10094,Thumsup PET 750 ML,Thumsup PET 750 ML,Soft Drinks,Beverages,Excluded,Beverages,Other,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2BV10097,Thumsup Pet 600ML,Thumsup Pet 600ML,Soft Drinks,Beverages,Excluded,Beverages,Other,NULL,NULL,NULL,NULL,NULL,NULL,NULL
7PK10220,Packaging Bag Charge 1,Packaging Bag Charge 1,Carry Bag,Packaging,Packaging,Packaging,Other,NULL,NULL,NULL,NULL,NULL,Yes,NULL
7PK10221,Packaging Bag Charge 2,Packaging Bag Charge 2,Carry Bag,Packaging,Packaging,Packaging,Other,NULL,NULL,NULL,NULL,NULL,Yes,NULL
1GGD0004,Supreme Chicken Biryani Pack,Supreme Chicken Biryani Pack,Supreme Packs,Biryani,Biryani,Non-Veg,Chicken,Other Packs,Sharing Pack,NULL,NULL,NULL,NULL,NULL
1GGD0014,Supreme Mutton Biryani Pack,Supreme Mutton Biryani Pack,Supreme Packs,Biryani,Biryani,Non-Veg,Mutton,Other Packs,NULL,NULL,NULL,NULL,NULL,NULL
1GGD0008,Egg  Biryani,Egg Biryani,Regular,Biryani,Biryani,Non-Veg,Egg,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1GGD0007,Special Non-veg Biryani,Special Non-veg Biryani,Spl Biryani,Biryani,Biryani,Non-Veg,Mix,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1GGD0120,Achaari Chutney Murgh Kebab (Full),Aachari Chicken Kebab,Kebabs,Kebabs,Kebabs,Non-Veg,Chicken,NULL,NULL,Innovation,Jashn-e-Kebab 2023,NULL,NULL,NULL
1GGD0121,Achaari Chutney Murgh Kebab (Half),Aachari Chicken Kebab (Half),Kebabs,Kebabs,Excluded,Non-Veg,Chicken,NULL,NULL,Innovation,Jashn-e-Kebab 2023,NULL,NULL,NULL
1GGD0122,Chettinadu Murgh Kebab,Chettinadu Murgh Kebab,Kebabs,Kebabs,Kebabs,Non-Veg,Chicken,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1GGD0125,Chicken Kalmi Kebab,Chicken Kalmi Kebab,Kebabs,Kebabs,Kebabs,Non-Veg,Chicken,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1GGD0128,Chicken Reshmi Kebab,Chicken Reshmi Kebab,Kebabs,Kebabs,Kebabs,Non-Veg,Chicken,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1GGD0134,Lal Mirchi Murgh Tikka Kebab,Lal Mirchi Murgh Tikka Kebab,Kebabs,Kebabs,Kebabs,Non-Veg,Chicken,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1GGD0135,Morraccan Chicken Kebab,Morraccan Chicken Kebab,Kebabs,Kebabs,Kebabs,Non-Veg,Chicken,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1GGD0090,Paradise Special Chicken,Paradise Special Chicken,Currys,Indian,Indian,Non-Veg,Chicken,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1GGD0102,Paradise Special Mutton,Paradise Special Mutton,Currys,Indian,Indian,Non-Veg,Mutton,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2BV10060,Schweppes Water 1 LT,Schweppes Water 1 LT,Water,Beverages,Excluded,Beverages,Other,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1GGT0184,Vegetable Samosa,Vegetable Samosa,Samosa,Bakery,Bakery,Veg,Other,NULL,NULL,Other Launch,Bakery Extension,NULL,NULL,NULL
1GGT0010,Mutton Biryani Family Pack,Mutton Biryani Family Pack,Family Packs,Biryani,Biryani,Non-Veg,Mutton,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1GGT0121,Achaari Chutney Murgh Kebab (Half),Aachari Chicken Kebab (Half),Kebabs,Kebabs,Excluded,Non-Veg,Chicken,NULL,NULL,Innovation,Jashn-e-Kebab 2023,NULL,NULL,NULL
2BV10059,Bisleri Water 1 LT,Bisleri Water 1 LT,Water,Beverages,Excluded,Beverages,Other,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1GGD0184,Vegetable Samosa,Vegetable Samosa,Samosa,Bakery,Bakery,Veg,Other,NULL,NULL,Other Launch,Bakery Extension,NULL,NULL,NULL
1GGT0120,Achaari Chutney Murgh Kebab (Full),Aachari Chicken Kebab,Kebabs,Kebabs,Kebabs,Non-Veg,Chicken,NULL,NULL,Innovation,Jashn-e-Kebab 2023,NULL,NULL,NULL
1VZT0080,Veg Biryani Meal,Veg Biryani Meal,Tray Meals,Biryani,Biryani,Veg,Other,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1VZT0001,Chicken Biryani Family Pack,Chicken Biryani Family Pack,Family Packs,Biryani,Biryani,Non-Veg,Chicken,Other Packs,Sharing Pack,Other Launch,Chicken Biryani Family Pack,NULL,NULL,NULL
1VZT0005,Supreme Chicken Biryani Pack,Supreme Chicken Biryani Pack,Supreme Packs,Biryani,Biryani,Non-Veg,Chicken,Other Packs,Sharing Pack,NULL,NULL,NULL,NULL,NULL
1VZT0010,Mutton Biryani Family Pack,Mutton Biryani Family Pack,Family Packs,Biryani,Biryani,Non-Veg,Mutton,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1VZT0014,Supreme Mutton Biryani Pack,Supreme Mutton Biryani Pack,Supreme Packs,Biryani,Biryani,Non-Veg,Mutton,Other Packs,Sharing Pack,NULL,NULL,NULL,NULL,NULL
1VZT0008,Egg Biryani,Egg Biryani,Regular,Biryani,Biryani,Non-Veg,Egg,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1VZT0017,Supreme Veg Biryani Pack,Supreme Veg Biryani Pack,Supreme Packs,Biryani,Biryani,Veg,Other,Other Packs,Sharing Pack,NULL,NULL,NULL,NULL,NULL
1VZT0018,Veg Biryani,Veg Biryani,Regular,Biryani,Biryani,Veg,Other,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1VZT0019,Veg Biryani Family Pack,Veg Biryani Family Pack,Family Packs,Biryani,Biryani,Veg,Other,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1VZT0120,Achaari Chutney Murgh Kebab (Full),Aachari Chicken Kebab,Kebabs,Kebabs,Kebabs,Non-Veg,Chicken,NULL,NULL,Innovation,Jashn-e-Kebab 2023,NULL,NULL,NULL
1VZT0122,Chettinadu Murgh Kebab,Chettinadu Murgh Kebab,Kebabs,Kebabs,Kebabs,Non-Veg,Chicken,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1VZT0125,Chicken Kalmi Kebab,Chicken Kalmi Kebab,Kebabs,Kebabs,Kebabs,Non-Veg,Chicken,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1VZT0126,Chicken Kalmi Kebab (Half),Chicken Kalmi Kebab (Half),Kebabs,Kebabs,Excluded,Non-Veg,Chicken,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1VZT0128,Chicken Reshmi Kebab,Chicken Reshmi Kebab,Kebabs,Kebabs,Kebabs,Non-Veg,Chicken,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1VZT0133,Chicken Tikka Kebab (Half),Chicken Tikka Kebab (Half),Kebabs,Kebabs,Excluded,Non-Veg,Chicken,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1VZT0134,Lal Mirchi Murgh Tikka Kebab,Lal Mirchi Murgh Tikka Kebab,Kebabs,Kebabs,Kebabs,Non-Veg,Chicken,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1VZT0135,Morraccan Chicken Kebab,Morraccan Chicken Kebab,Kebabs,Kebabs,Kebabs,Non-Veg,Chicken,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1VZT0136,Takeaway Chicken Kebab Platter,Takeaway Chicken Kebab Platter,Platter,Kebabs,Kebabs,Non-Veg,Chicken,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1VZT0090,Paradise Special Chicken,Paradise Special Chicken,Currys,Indian,Indian,Non-Veg,Chicken,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1VZT0102,Paradise Special Mutton,Paradise Special Mutton,Currys,Indian,Indian,Non-Veg,Mutton,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1VZD0004,Supreme Chicken Biryani Pack,Supreme Chicken Biryani Pack,Supreme Packs,Biryani,Biryani,Non-Veg,Chicken,Other Packs,Sharing Pack,NULL,NULL,NULL,NULL,NULL
1VZD0011,Nizami  Mutton Biryani,Nizami Mutton Biryani,Regular,Biryani,Biryani,Non-Veg,Mutton,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1VZD0014,Supreme Mutton Biryani Pack,Supreme Mutton Biryani Pack,Supreme Packs,Biryani,Biryani,Non-Veg,Mutton,Other Packs,NULL,NULL,NULL,NULL,NULL,NULL
1VZD0008,Egg  Biryani,Egg Biryani,Regular,Biryani,Biryani,Non-Veg,Egg,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1VZD0018,Veg  Biryani,Veg Biryani,Regular,Biryani,Biryani,Veg,Other,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1VZD0007,Special Non-veg Biryani,Special Non-veg Biryani,Spl Biryani,Biryani,Biryani,Non-Veg,Mutton,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1VZD0120,Achaari Chutney Murgh Kebab (Full),Aachari Chicken Kebab,Kebabs,Kebabs,Kebabs,Non-Veg,Chicken,NULL,NULL,Innovation,Jashn-e-Kebab 2023,NULL,NULL,NULL
1VZD0122,Chettinadu Murgh Kebab,Chettinadu Murgh Kebab,Kebabs,Kebabs,Kebabs,Non-Veg,Chicken,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1VZD0125,Chicken Kalmi Kebab,Chicken Kalmi Kebab,Kebabs,Kebabs,Kebabs,Non-Veg,Chicken,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1VZD0126,Chicken Kalmi Kebab (Half),Chicken Kalmi Kebab (Half),Kebabs,Kebabs,Excluded,Non-Veg,Chicken,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1VZD0128,Chicken Reshmi Kebab,Chicken Reshmi Kebab,Kebabs,Kebabs,Kebabs,Non-Veg,Chicken,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1VZD0129,Chicken Reshmi Kebab (Half),Chicken Reshmi Kebab (Half),Kebabs,Kebabs,Excluded,Non-Veg,Chicken,NULL,NULL,NULL,NULL,NULL,NULL,NULL
